batch_id,priority,blocker_type,status_type,suggested_source,manifest_source,collection_status,market_scope,row_count,code_count,code_sample,required_evidence,source_plan_rows,order_intent_generated,notes
P1-001,1,source_manifest_evidence,delisting,kind:Managed issue event;Trading halt or resumption disclosure;Delisting disclosure,kind,pending_raw_evidence,required_manifest_scope,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",1,false,draft_only;fill_source_url_raw_path_confidence_before_validation;required_manifest_coverage_no_lifecycle_gap_rows;plan_only_not_source_coverage
P1-002,1,source_manifest_evidence,delisting,krx_data_marketplace:Designated details of all issues;Market alert issue;Delisting,krx_data_marketplace,pending_raw_evidence,required_manifest_scope,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",2,false,draft_only;fill_source_url_raw_path_confidence_before_validation;required_manifest_coverage_no_lifecycle_gap_rows;plan_only_not_source_coverage
P1-003,1,source_manifest_evidence,delisting,manual_snapshot:Manual download captured from an official KRX or KIND page,manual_snapshot,pending_raw_evidence,required_manifest_scope,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",3,false,draft_only;fill_source_url_raw_path_confidence_before_validation;required_manifest_coverage_no_lifecycle_gap_rows;plan_only_not_source_coverage
P1-004,1,source_manifest_evidence,managed_issue,kind:Managed issue event;Trading halt or resumption disclosure;Delisting disclosure,kind,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",4,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P1-005,1,source_manifest_evidence,managed_issue,krx_data_marketplace:Designated details of all issues;Market alert issue;Delisting,krx_data_marketplace,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",5,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P1-006,1,source_manifest_evidence,managed_issue,manual_snapshot:Manual download captured from an official KRX or KIND page,manual_snapshot,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",6,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P1-007,1,source_manifest_evidence,market_alert,krx_data_marketplace:Designated details of all issues;Market alert issue;Delisting,krx_data_marketplace,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",7,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P1-008,1,source_manifest_evidence,market_alert,manual_snapshot:Manual download captured from an official KRX or KIND page,manual_snapshot,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",8,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P1-009,1,source_manifest_evidence,trading_halt,kind:Managed issue event;Trading halt or resumption disclosure;Delisting disclosure,kind,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",9,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P1-010,1,source_manifest_evidence,trading_halt,manual_snapshot:Manual download captured from an official KRX or KIND page,manual_snapshot,pending_raw_evidence,KOSDAQ;KOSPI,1,0,not_applicable,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",10,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present;plan_only_not_source_coverage
P2-001,2,release_resume_evidence,managed_issue,krx_data_marketplace;kind;manual_snapshot,krx_data_marketplace;kind;manual_snapshot,pending_release_resume_evidence,KOSDAQ,25,25,001840;008290;016790;023440;024830,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",14;19;25;28;29;30;31;32;33;34;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,false,release_resume_collection_target;plan_only_not_source_coverage
P2-002,2,release_resume_evidence,managed_issue,krx_data_marketplace;kind;manual_snapshot,krx_data_marketplace;kind;manual_snapshot,pending_release_resume_evidence,KOSDAQ,25,25,066790;066900;068240;068940;069920,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",51;52;53;54;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77,false,release_resume_collection_target;plan_only_not_source_coverage
P2-003,2,release_resume_evidence,managed_issue,krx_data_marketplace;kind;manual_snapshot,krx_data_marketplace;kind;manual_snapshot,pending_release_resume_evidence,KOSDAQ,25,25,203690;214610;217480;219550;222160,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;100;101;103;105,false,release_resume_collection_target;plan_only_not_source_coverage
P2-004,2,release_resume_evidence,managed_issue,krx_data_marketplace;kind;manual_snapshot,krx_data_marketplace;kind;manual_snapshot,pending_release_resume_evidence,KOSDAQ,7,7,377460;380540;393970;412540;418250,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",106;107;108;110;111;114;115,false,release_resume_collection_target;plan_only_not_source_coverage
P2-005,2,release_resume_evidence,managed_issue,krx_data_marketplace;kind;manual_snapshot,krx_data_marketplace;kind;manual_snapshot,pending_release_resume_evidence,KOSPI,18,18,001470;001570;001770;002410;005030,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",11;12;13;15;16;17;18;20;21;22;23;24;26;27;35;55;70;102,false,release_resume_collection_target;plan_only_not_source_coverage
P2-006,2,release_resume_evidence,managed_issue,krx_data_marketplace;kind;manual_snapshot,krx_data_marketplace;kind;manual_snapshot,pending_release_resume_evidence,UNKNOWN,6,6,309710;373790;397420;424460;454180,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",99;104;109;112;113;116,false,market_data_absent_for_code;release_resume_collection_target;plan_only_not_source_coverage
P2-007,2,release_resume_evidence,market_alert,krx_data_marketplace;manual_snapshot,krx_data_marketplace;manual_snapshot,pending_release_resume_evidence,KOSDAQ,25,25,001000;008290;026910;032860;033540,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",118;125;133;134;135;137;138;139;140;141;142;143;144;145;146;147;148;149;150;152;153;154;156;157;158,false,release_resume_collection_target;plan_only_not_source_coverage
