priority,blocker_type,status_type,code,market,lifecycle_gap_status,target_groups,active_like_rows,release_like_rows,manifest_source,manifest_status,unknown_market_target,suggested_source,required_evidence,collection_status,order_intent_generated,notes
1,source_manifest_evidence,delisting,,,,0,,,kind,pending_raw_evidence,false,kind:Managed issue event;Trading halt or resumption disclosure;Delisting disclosure,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;required_manifest_coverage_no_lifecycle_gap_rows
1,source_manifest_evidence,delisting,,,,0,,,krx_data_marketplace,pending_raw_evidence,false,krx_data_marketplace:Designated details of all issues;Market alert issue;Delisting,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;required_manifest_coverage_no_lifecycle_gap_rows
1,source_manifest_evidence,delisting,,,,0,,,manual_snapshot,pending_raw_evidence,false,manual_snapshot:Manual download captured from an official KRX or KIND page,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;required_manifest_coverage_no_lifecycle_gap_rows
1,source_manifest_evidence,managed_issue,,KOSDAQ;KOSPI,,104,,,kind,pending_raw_evidence,false,kind:Managed issue event;Trading halt or resumption disclosure;Delisting disclosure,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
1,source_manifest_evidence,managed_issue,,KOSDAQ;KOSPI,,104,,,krx_data_marketplace,pending_raw_evidence,false,krx_data_marketplace:Designated details of all issues;Market alert issue;Delisting,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
1,source_manifest_evidence,managed_issue,,KOSDAQ;KOSPI,,104,,,manual_snapshot,pending_raw_evidence,false,manual_snapshot:Manual download captured from an official KRX or KIND page,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
1,source_manifest_evidence,market_alert,,KOSDAQ;KOSPI,,70,,,krx_data_marketplace,pending_raw_evidence,false,krx_data_marketplace:Designated details of all issues;Market alert issue;Delisting,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
1,source_manifest_evidence,market_alert,,KOSDAQ;KOSPI,,70,,,manual_snapshot,pending_raw_evidence,false,manual_snapshot:Manual download captured from an official KRX or KIND page,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
1,source_manifest_evidence,trading_halt,,KOSDAQ;KOSPI,,130,,,kind,pending_raw_evidence,false,kind:Managed issue event;Trading halt or resumption disclosure;Delisting disclosure,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
1,source_manifest_evidence,trading_halt,,KOSDAQ;KOSPI,,130,,,manual_snapshot,pending_raw_evidence,false,manual_snapshot:Manual download captured from an official KRX or KIND page,"fill source_url, raw_path, and confidence with official raw evidence covering the market-data window",pending_raw_evidence,false,draft_only;fill_source_url_raw_path_confidence_before_validation;lifecycle_release_resume_collection_targets_present
2,release_resume_evidence,managed_issue,001470,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,001570,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
