check_id,category,status,evidence,next_action,bias_control_mode,order_intent_generated
survivorship_bias,Point-in-Time Universe,hold,"status coverage mode is current_snapshot_smoke; local coverage audit reports hold; source manifest validation=not_supplied; missing source coverage=managed_issue,trading_halt,market_alert,delisting; lifecycle missing release/resume groups=304; lifecycle missing by status=managed_issue=104,market_alert=70,trading_halt=130",obtain historical status-event coverage and a validated source manifest,paper_bias_control_preflight_only,false
lookahead_bias,Signal timing,pass_smoke,"4240/4240 forward-return rows complete across horizons 1,5","keep signal, target, and forward-return timing separated by rebalance date",paper_bias_control_preflight_only,false
data_snooping,OOS / Walk-Forward,pass_smoke_plumbing_only,local OOS/Walk-Forward temporal fold plumbing exists but readiness remains hold; broker fee override still required,run production OOS only after Backtest and Point-in-Time gates pass,paper_bias_control_preflight_only,false
overfitting,OOS readiness,hold,OOS readiness=hold,do not tune parameters from the current smoke fold results,paper_bias_control_preflight_only,false
cost_bias,Costs and slippage,hold,local attribution smoke links costs and benchmark-active return but remains assumption-only; broker fee override still required,replace assumed costs with actual KIS account/channel fee evidence,paper_bias_control_preflight_only,false
benchmark_bias,Benchmark attribution,pass_smoke,local benchmark return smoke report is diagnostic-only and reports no order intents,wire benchmark attribution into the production Backtest engine,paper_bias_control_preflight_only,false
execution_bias,Execution controls,blocked,"no order executor, kill switch, explicit confirmation gate, status/cancel flow, or read-only account checks are complete","keep live trading blocked until account, order, cancel, and kill-switch gates pass",paper_bias_control_preflight_only,false
account_bias,KIS demo account,blocked,local demo account preflight reports KIS_PAPER_STOCK missing or invalid,complete local read-only demo account preflight before any order executor,paper_bias_control_preflight_only,false
backtest_interpretation,Backtest engine,hold,"Backtest engine is not wired to Point-in-Time Universe, costs, benchmark, OOS, and Bias Control; Backtest readiness=hold",do not interpret smoke returns as strategy performance,paper_bias_control_preflight_only,false
strategy_bias_docs,Strategy checklist,hold,2 strategy bias docs supplied; docs containing hold=2,keep strategy checklist in sync with generated evidence,paper_bias_control_preflight_only,false
